link,nome,preco,nquartos,nbanheiros,ngaragem,area,data_scraping
https://sc.olx.com.br/florianopolis-e-regiao/imoveis/casas-no-campo-duna-1422042188,CASAS NO CAMPO DUNA,R$ 645.000,3,3,3,120m²,2025-09-05 19:42:48
https://sc.olx.com.br/florianopolis-e-regiao/imoveis/casas-a-partir-de-r-749-950-00-no-pedra-branca-1433881201,"Casas a partir de R$749.950,00 no Pedra Branca",R$ 745.950,2,3,2,90m²,2025-09-05 19:42:48
https://sc.olx.com.br/norte-de-santa-catarina/imoveis/duas-casas-em-um-terreno-1386349831,Duas casas em um terreno,R$ 450.000,375m²,,,,2025-09-05 19:42:48
https://sc.olx.com.br/florianopolis-e-regiao/imoveis/duas-casas-a-venda-em-um-terreno-de-360-m2-bairro-alto-aririu-palhoca-sc-250-mil-1434336683,Duas casas a venda em um terreno de 360 m2 Bairro Alto Aririu Palhoça SC - 250 mil,R$ 250.000,4,2,2,120m²,2025-09-05 19:42:48
https://sc.olx.com.br/florianopolis-e-regiao/imoveis/casas-com-5-dormitorios-no-bairro-ipiranga-em-sao-jose-1434331985,Casas com 5 dormitórios no Bairro Ipiranga em São José,R$ 900.000,5+,4,3,180m²,2025-09-05 19:42:48
https://sc.olx.com.br/florianopolis-e-regiao/imoveis/duas-casas-4-apartamentos-a-venda-a-50-metros-da-praia-no-bairro-pantano-do-sul-flori-1434326155,"Duas casas + 4 apartamentos à venda, a 50 metros da praia, no bairro Pântano do Sul, Flori",R$ 1.950.000,5+,5+,5+,476m²,2025-09-05 19:42:48
https://sc.olx.com.br/florianopolis-e-regiao/imoveis/duas-casas-4-apartamentos-a-venda-a-50-metros-da-praia-no-bairro-pantano-do-sul-flori-1434324394,"Duas casas + 4 apartamentos à venda, a 50 metros da praia, no bairro Pântano do Sul, Flori",R$ 1.950.000,5+,5+,5+,476m²,2025-09-05 19:42:48
https://sc.olx.com.br/florianopolis-e-regiao/imoveis/alugo-casas-nova-palhoca-1434170954,Alugo casas Nova Palhoça,,5+,,5+,2,2025-09-05 19:42:48
https://sc.olx.com.br/florianopolis-e-regiao/imoveis/casa-para-vender-cachoeira-bom-jesus-sao-duas-casas-valores-separados-1434097054,Casa para vender cachoeira bom jesus(sao duas casas valores separados ),R$ 1.100.000,3,,2,1,2025-09-05 19:42:48
https://sc.olx.com.br/norte-de-santa-catarina/temporada/casas-para-temporada-em-itapoa-1434005348,Casas para temporada em Itapoá,R$ 250,2,,,2,2025-09-05 19:42:48
https://sc.olx.com.br/florianopolis-e-regiao/imoveis/alugo-casas-na-costeira-do-pirajubae-1433992541,Alugo casas na Costeira do Pirajubaé,,4,,2,2,2025-09-05 19:42:48
https://sc.olx.com.br/florianopolis-e-regiao/imoveis/casas-e-apartamentos-no-sul-da-ilha-1379940912,Casas e Apartamentos no Sul da ilha!,R$ 1.150.000,3,3,2,145m²,2025-09-05 19:42:48
https://sc.olx.com.br/florianopolis-e-regiao/imoveis/duas-casas-no-mesmo-terreno-1433696952,Duas casas no mesmo terreno,R$ 350.000,3,3,1,380m²,2025-09-05 19:42:48
https://sc.olx.com.br/florianopolis-e-regiao/imoveis/casas-no-campeche-com-piscina-1433643157,Casas no Campeche com piscina,R$ 1.500.000,4,4,4,120m²,2025-09-05 19:42:48
https://sc.olx.com.br/florianopolis-e-regiao/imoveis/casas-pre-fabricadas-1433548568,casas pré fabricadas,R$ 36.000,2,1,4,36m²,2025-09-05 19:42:48
https://sc.olx.com.br/florianopolis-e-regiao/imoveis/aluguel-de-casas-1374702297,Aluguel de casas,R$ 4.200,2,3,5+,150m²,2025-09-05 19:42:48
https://sc.olx.com.br/florianopolis-e-regiao/imoveis/casas-com-vista-panoramica-em-ponta-das-canas-1433394882,Casas com Vista Panorâmica em Ponta das Canas,R$ 25.000.000,4,4,5+,1960m²,2025-09-05 19:42:48
https://sc.olx.com.br/norte-de-santa-catarina/imoveis/vendo-duas-casas-em-rio-dos-cedros-450-mil-1433268724,Vendo duas casas em  rio dos cedros!! 450 mil,R$ 450.000,4,2,2,200m²,2025-09-05 19:42:48
https://sc.olx.com.br/florianopolis-e-regiao/imoveis/vendo-casa-4-quartos-com-ponto-comercial-140m-proximo-casas-da-agua-aririu-palhoca-1433224226,"Vendo Casa 4 quartos, com ponto comercial, 140m², próximo Casas da Água, Aririú - Palhoça",R$ 410.000,4,3,1,140m²,2025-09-05 19:42:48
https://sc.olx.com.br/norte-de-santa-catarina/imoveis/duas-casas-madeiras-rua-alois-peiker-padre-eduardo-taio-s-c-lado-posto-saude-fora-en-1432989633,"DUAS CASAS MADEIRAS, RUA ALOIS PEIKER, PADRE EDUARDO, TAIÓ, S.C, LADO POSTO SAUDE, FORA EN",R$ 210.000,4,2,1,360m²,2025-09-05 19:42:48
https://sc.olx.com.br/florianopolis-e-regiao/imoveis/casas-em-condominio-livin-jurere-home-square-florianopolis-ref-624-1433111806,"Casas em Condomínio - Livin Jurerê Home Square, Florianópolis REF: 624",R$ 2.540.000,3,4,3,279m²,2025-09-05 19:42:48
https://sc.olx.com.br/florianopolis-e-regiao/imoveis/casas-em-condominio-alameda-cacupe-florianopolis-ref-455-1433111759,"Casas em Condomínio - Alameda Cacupé, Florianópolis REF: 455",R$ 2.650.000,3,4,2,241m²,2025-09-05 19:42:48
https://sc.olx.com.br/florianopolis-e-regiao/imoveis/casas-vila-no-canto-da-lagoa-1378603560,CASAS VILA NO  CANTO DA LAGOA,R$ 3.000,2,1,1,70m²,2025-09-05 19:42:48
https://sc.olx.com.br/florianopolis-e-regiao/imoveis/casas-alvenaria-3-quartos-em-morro-da-fumaca-1147695832,Casas Alvenaria 3 quartos em Morro da Fumaca,R$ 398.000,3,3,2,100m²,2025-09-05 19:42:48
https://sc.olx.com.br/florianopolis-e-regiao/imoveis/casas-padrao-tres-marias-1432764674,Casas Padrão - Três Marias,R$ 577.000,2,1,1,79m²,2025-09-05 19:42:48
https://sc.olx.com.br/norte-de-santa-catarina/imoveis/duas-casas-alvenaria-rua-gaspar-lima-bairro-padre-eduardo-taio-s-c-totalmente-fora-de-1432742661,"DUAS CASAS ALVENARIA, RUA GASPAR LIMA, BAIRRO PADRE EDUARDO, TAIÓ, S.C. TOTALMENTE FORA DE",R$ 400.000,5+,2,1,588m²,2025-09-05 19:42:48
https://sc.olx.com.br/florianopolis-e-regiao/imoveis/casas-a-venda-na-praia-de-itapiruba-imbituba-sc-1429400888,Casas á venda na praia de Itapirubá- Imbituba - Sc,R$ 450.000,1,,1,4,2025-09-05 19:42:48
https://sc.olx.com.br/florianopolis-e-regiao/imoveis/vendo-duas-casas-escrituradas-no-mesmo-lote-1432580165,Vendo duas casas escrituradas no mesmo lote,R$ 590.000,3,1,1,480m²,2025-09-05 19:42:48
https://sc.olx.com.br/norte-de-santa-catarina/imoveis/casas-com-80-00m-em-barra-velha-sc-1432530541,"Casas com 80,00m² em Barra Velha/SC",R$ 689.000,2,,1,80m²,2025-09-05 19:42:48
https://sc.olx.com.br/norte-de-santa-catarina/imoveis/casas-geminadas-2-quartos-1-suite-53-m-itacolomi-balneario-picarras-sc-1432530259,Casas geminadas 2 quartos (1 suíte) 53 m² - Itacolomi - Balneário Piçarras/SC,R$ 389.000,2,1,1,53m²,2025-09-05 19:42:48
https://sc.olx.com.br/florianopolis-e-regiao/imoveis/duas-casas-com-amplo-terreno-no-village-na-lagoa-da-conceicao-1432486476,"Duas casas com amplo terreno no Village , na Lagoa da Conceição",R$ 2.400.000,3,3,2,310m²,2025-09-05 19:42:48
https://sc.olx.com.br/florianopolis-e-regiao/imoveis/casas-em-capoeiras-1432384461,Casas em Capoeiras!,R$ 950.000,5+,5+,2,280m²,2025-09-05 19:42:48
https://sc.olx.com.br/florianopolis-e-regiao/imoveis/duas-casas-no-mesmo-patio-r-500-000-00-1432216738,"Duas casas no mesmo pátio! R$ 500.000,00",R$ 500.000,3,1,5+,252m²,2025-09-05 19:42:48
https://sc.olx.com.br/florianopolis-e-regiao/imoveis/casas-e-oficinas-pre-fabricadas-1432190966,Casas e oficinas Pre fabricadas,R$ 375,3,2,2,90m²,2025-09-05 19:42:48
https://sc.olx.com.br/florianopolis-e-regiao/imoveis/casas-de-esquina-a-200-metros-da-lagoa-1432180835,Casas de esquina a 200 metros da lagoa,R$ 450.000,5+,2,2,140m²,2025-09-05 19:42:48
https://sc.olx.com.br/norte-de-santa-catarina/imoveis/casas-na-quinta-dos-acorianos-valor-abaixo-do-mercado-1432041415,Casas na Quinta dos Açorianos - Valor abaixo do mercado,R$ 260.000,2,1,2,60m²,2025-09-05 19:42:48
https://sc.olx.com.br/norte-de-santa-catarina/imoveis/venda-de-casas-alto-padrao-na-cidade-de-jaragua-do-sul-1432019671,Venda de Casas / Alto Padrão na cidade de Jaraguá do Sul,R$ 1.870.000,3,2,2,184m²,2025-09-05 19:42:48
https://sc.olx.com.br/norte-de-santa-catarina/imoveis/casas-itapoa-sc-1431876900,Casas Itapoá SC,R$ 359.000,3,1,1,70m²,2025-09-05 19:42:48
https://sc.olx.com.br/florianopolis-e-regiao/imoveis/casa-com-excelente-metragem-de-terreno-com-duas-casas-1431854314,Casa com excelente metragem de terreno com duas casas,R$ 860.000,2,,1,100m²,2025-09-05 19:42:48
https://sc.olx.com.br/norte-de-santa-catarina/imoveis/casas-moderna-em-itajai-1431852478,Casas Moderna em itajai,R$ 590.000,3,3,2,105m²,2025-09-05 19:42:48
https://sc.olx.com.br/florianopolis-e-regiao/imoveis/casas-duplex-de-2-quartos-a-600-metros-da-praia-dos-ingleses-1431851411,Casas duplex de 2 quartos à 600 metros da praia dos Ingleses,R$ 720.000,2,3,1,133m²,2025-09-05 19:42:48
https://sc.olx.com.br/florianopolis-e-regiao/imoveis/casas-nova-villa-toscana-com-2-quartos-palhoca-1431572775,Casas nova Villa Toscana com 2 Quartos Palhoça,R$ 350.000,2,1,2,50m²,2025-09-05 19:42:48
https://sc.olx.com.br/florianopolis-e-regiao/imoveis/casas-para-3-quarto-s-potecas-sao-jose-ca1832-1431556570,"Casas para , 3 quarto(s), Potecas, São José - CA1832",R$ 795.000,3,,2,100m²,2025-09-05 19:42:48
https://sc.olx.com.br/florianopolis-e-regiao/imoveis/vendo-casas-1431418204,Vendo casas,R$ 350.000,2,1,1,160m²,2025-09-05 19:42:48
https://sc.olx.com.br/norte-de-santa-catarina/imoveis/casas-de-pre-moldados-pronta-com-a-chave-na-mao-para-morar-1431255597,? CASAS DE PRÉ MOLDADOS PRONTA COM A CHAVE NA MÃO PARA MORAR! ?,R$ 49.560,2,1,1,42m²,2025-09-05 19:42:48
https://sc.olx.com.br/florianopolis-e-regiao/imoveis/casas-proximo-de-tudo-1423620190,Casas próximo de tudo,R$ 900.000,3,2,1,99m²,2025-09-05 19:42:48
https://sc.olx.com.br/norte-de-santa-catarina/imoveis/vende-casas-1430913310,Vende Casas.,R$ 420.000,2,1,2,200m²,2025-09-05 19:42:48
https://sc.olx.com.br/florianopolis-e-regiao/imoveis/casas-palhoca-1430883570,Casas Palhoça,R$ 350.000,2,1,2,50m²,2025-09-05 19:42:49
https://sc.olx.com.br/florianopolis-e-regiao/imoveis/vendo-duas-casas-mais-terreno-1430690229,Vendo duas casas mais terreno,R$ 900.000,4,2,5+,660m²,2025-09-05 19:42:49
https://sc.olx.com.br/florianopolis-e-regiao/imoveis/duas-casas-charmosas-na-praia-areias-claras-em-balneario-gaivota-no-mesmo-terreno-1430333603,Duas Casas Charmosas na Praia Areias Claras em Balneário Gaivota no mesmo terreno.,R$ 396.000,2,,2,312m²,2025-09-05 19:42:49
https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/vendo-duas-casas-1434602382,VENDO DUAS CASAS,R$ 260.000,4,3,1,150m²,2025-09-05 19:46:09
https://pb.olx.com.br/paraiba/imoveis/casas-com-piscina-a-venda-em-joao-pessoa-1434451046,Casas com piscina a venda em João Pessoa,R$ 289.900,3,2,3,120m²,2025-09-05 19:46:09
https://al.olx.com.br/alagoas/imoveis/duas-casas-espacosas-em-um-unico-terreno-na-pajucara-1417256194,Duas Casas Espaçosas em um Único Terreno na Pajuçara!,R$ 600.000,5+,,,3,2025-09-05 19:46:09
https://rj.olx.com.br/norte-do-estado-do-rio/imoveis/vende-se-duas-casas-independentes-em-campos-dos-goytacazes-1434501436,? Vende-se duas casas independentes em Campos dos Goytacazes.,R$ 240.000,3,2,1,144m²,2025-09-05 19:46:09
https://ce.olx.com.br/fortaleza-e-regiao/imoveis/excelentes-casas-com-3-quartos-atras-das-casas-freitas-da-av-washington-soares-cod-dt8-1434604467,"Excelentes Casas Com 3 Quartos, Atras Das Casas Freitas Da Av. Washington Soares! Cód. DT8",R$ 420.000,3,2,2,117m²,2025-09-05 19:46:09
https://ce.olx.com.br/fortaleza-e-regiao/imoveis/casas-duplex-na-pavuna-2-quartos-sendo-1-suite-cod-1nj9kfk-1434603549,Casas Duplex Na Pavuna  2 Quartos Sendo 1 Suíte! Cód. 1NJ9KFK,R$ 220.000,2,2,1,86m²,2025-09-05 19:46:09
https://ce.olx.com.br/fortaleza-e-regiao/imoveis/casas-duplex-em-condominio-a-800m-do-centro-da-pacatuba-cod-1rsbgc-1434603467,Casas Duplex Em Condomínio A 800M Do Centro Da Pacatuba! Cód. 1RSBGC,R$ 188.000,2,2,1,78m²,2025-09-05 19:46:09
https://ce.olx.com.br/fortaleza-e-regiao/imoveis/casas-duplex-de-altissimo-padrao-no-luzardo-viana-100-porcelanato-acabamento-fino-cod-1434602354,"Casas Duplex De Altissimo Padrão No Luzardo Viana, 100% Porcelanato Acabamento Fino! Cód.",R$ 420.000,3,3,2,131m²,2025-09-05 19:46:09
https://df.olx.com.br/distrito-federal-e-regiao/imoveis/casas-qnl14-1434599358,Casas qnl14,R$ 240.000,3,3,1,188m²,2025-09-05 19:46:09
https://pe.olx.com.br/grande-recife/imoveis/venda-de-casas-2-no-mesmo-terreno-1434588305,Venda de casas 2 no mesmo terreno,R$ 150,2,,1,70m²,2025-09-05 19:46:09
https://rj.olx.com.br/norte-do-estado-do-rio/imoveis/duas-casas-independentes-no-mesmo-terreno-bairro-pero-cabo-frio-1434582176,"Duas Casas Independentes no mesmo Terreno  Bairro Peró, Cabo Frio",R$ 650.000,4,2,3,125m²,2025-09-05 19:46:09
https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/casas-financiadas-laranjal-1434580356,Casas financiadas-Laranjal,R$ 170.000,1,1,1,30m²,2025-09-05 19:46:09
https://ce.olx.com.br/fortaleza-e-regiao/imoveis/casas-em-horizonte-ceara-entrada-zero-1434565600,Casas em Horizonte-ceara   Entrada Zero,R$ 500,2,2,1,80m²,2025-09-05 19:46:09
https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/casas-triunfo-1-goianira-2-quartos-e-1-quarto-1417082896,Casas Triunfo 1 Goianira - 2 quartos e 1 quarto,R$ 245.000,3,3,2,120m²,2025-09-05 19:46:09
https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/casa-residencial-comercial-bairro-santa-quiteria-terreno-com-duas-casas-imovel-de-es-1434578789,Casa residencial/Comercial - Bairro Santa Quitéria - terreno com duas casas - Imóvel de es,R$ 860.000,5+,4,3,302m²,2025-09-05 19:46:09
https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/casas-a-venda-setor-ipanema-santo-antonio-de-goias-go-1434577436,"Casas à Venda - Setor Ipanema, Santo Antônio de Goiás/GO",R$ 235.000,2,1,2,125m²,2025-09-05 19:46:09
https://ce.olx.com.br/fortaleza-e-regiao/imoveis/casas-com-lote-de-esquina-no-terras-alphaville-em-cidade-alpha-eusebio-ce-1414437691,Casas com lote de esquina no Terras Alphaville  em Cidade Alpha - Eusébio - CE,R$ 2.190.000,4,4,4,316m²,2025-09-05 19:46:09
https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/imoveis/vendo-duas-casas-em-um-terreno-aceito-permuta-com-imovel-terreno-em-ubatuba-1434486973,Vendo duas casas em um terreno/ aceito permuta com imóvel/ terreno em ubatuba,R$ 320.000,2,,2,3,2025-09-05 19:46:09
https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/casas-para-financiar-em-santo-antonio-de-goias-1434573166,Casas para financiar em Santo António de Goiás,R$ 1.550,2,1,3,360m²,2025-09-05 19:46:09
https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/casas-vila-sao-francisco-setor-fama-goiania-go-1433642409,"Casas Vila São Francisco (Setor Fama), Goiânia-GO",R$ 680.000,5+,3,3,378m²,2025-09-05 19:46:09
https://es.olx.com.br/norte-do-espirito-santo/imoveis/casas-lineares-em-sao-francisco-3-quartos-com-suite-hs-1434566279,Casas lineares em São Francisco 3 quartos com suíte HS,R$ 450.000,3,3,2,84m²,2025-09-05 19:46:09
https://es.olx.com.br/norte-do-espirito-santo/imoveis/casas-duplex-com-quintal-em-macafe-fs-1434565787,Casas duplex com quintal em Macafé FS,R$ 300.000,2,2,1,70m²,2025-09-05 19:46:09
https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/venda-de-casas-padrao-na-cidade-de-matao-1434565626,Venda de Casas / Padrão na cidade de Matão,R$ 650.000,3,2,3,154m²,2025-09-05 19:46:09
https://rn.olx.com.br/rio-grande-do-norte/imoveis/casas-altissimo-padrao-100-mobiliada-sao-miguel-do-gostoso-rn-1434565467,Casas Altíssimo Padrão! 100% Mobiliada - São Miguel do Gostoso - RN,R$ 1.170.000,3,,4,153m²,2025-09-05 19:46:09
https://ba.olx.com.br/grande-salvador/imoveis/aluguel-de-casas-e-apartamentos-1372751057,Aluguel de casas e apartamentos,R$ 425,1,,,,2025-09-05 19:46:09
https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/casas-com-1-quarto-em-sacramento-sao-goncalo-rj-1434563149,Casas com 1 quarto em Sacramento - São Gonçalo - RJ,R$ 220.000,1,,1,35m²,2025-09-05 19:46:09
https://pi.olx.com.br/regiao-de-teresina-e-parnaiba/imoveis/alugamos-casas-em-timon-ma-com-2-3-e-4-quartos-1434562174,"Alugamos Casas em Timon-Ma com 2, 3 e 4 Quartos",,3,2,3,143m²,2025-09-05 19:46:09
https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/duas-casas-no-preventorio-1434561442,Duas casas no preventório,R$ 200.000,2,,,2,2025-09-05 19:46:09
https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/casas-com-1-quarto-em-coelho-sao-goncalo-rj-1434559195,Casas com 1 quarto em Coelho - São Gonçalo - RJ,R$ 155.000,1,,1,30m²,2025-09-05 19:46:09
https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/duas-casas-uma-de-3-4-e-outra-de-2-4-tudo-dividido-1434480817,Duas casas uma de 3/4 e outra de 2/4 tudo dividido,R$ 350.000,3,3,3,400m²,2025-09-05 19:46:09
https://sp.olx.com.br/sao-paulo-e-regiao/imoveis/casas-ao-lado-do-terminal-a-e-carvalho-1433677127,Casas ao Lado do Terminal A.E.Carvalho,R$ 270.000,4,2,1,135m²,2025-09-05 19:46:09
